license_id,vendor,tool_name,license_type,department,region,total_seats,avg_utilization,peak_utilization,cost_per_seat_usd,total_cost_usd,issue_date,expiry_date,days_to_expiry,renewal_risk,over_licensed,unused_seats,potential_savings
LIC-0172,Vendor_A,LayoutEditor,Floating,Verification,EMEA,10,19.1,34.6,25000,250000,2024-11-04,2025-11-04,-194,Expired,True,7,175000
LIC-0173,Vendor_A,SchematicCapture,Floating,Mixed-Signal,Americas,25,32.7,52.1,30000,750000,2025-09-21,2027-09-21,492,Low,True,15,450000
LIC-0174,Vendor_B,SimEngine_X,Floating,Mixed-Signal,EMEA,20,14.5,24.2,30000,600000,2025-11-20,2027-11-20,552,Low,True,16,480000
LIC-0175,Vendor_A,DesignTool_Pro,Floating,DFT,EMEA,20,17.8,47.3,15000,300000,2026-01-30,2028-01-30,623,Low,True,15,225000
LIC-0176,Vendor_A,LayoutEditor,Floating,Verification,Americas,5,88.8,100.0,30000,150000,2025-03-12,2026-03-12,-66,Expired,False,0,0
LIC-0177,Vendor_A,LayoutEditor,Node-Locked,Mixed-Signal,EMEA,10,58.5,84.3,30000,300000,2024-10-28,2026-10-28,164,Low,False,3,90000
LIC-0178,Vendor_C,VerifyTool_B,Node-Locked,Verification,APAC,20,17.3,23.2,12000,240000,2026-01-02,2027-01-02,230,Low,True,15,180000
LIC-0179,Vendor_A,LayoutEditor,Floating,Physical Design,Americas,25,63.9,80.7,8000,200000,2025-08-04,2027-08-04,444,Low,False,8,64000
LIC-0180,Vendor_B,SimEngine_X,Floating,Analog,EMEA,15,27.5,43.4,20000,300000,2024-11-22,2026-11-22,189,Low,True,9,180000
LIC-0181,Vendor_B,SimEngine_Pro,Floating,DFT,Americas,25,44.6,56.3,8000,200000,2024-12-08,2025-12-08,-160,Expired,False,12,96000
LIC-0182,Vendor_B,SimEngine_Pro,Floating,Mixed-Signal,EMEA,5,35.4,48.6,15000,75000,2025-04-08,2027-04-08,326,Low,True,2,30000
LIC-0183,Vendor_C,FormalChecker,Floating,Verification,Americas,20,59.3,65.4,15000,300000,2024-05-27,2026-05-27,10,Critical,False,7,105000
LIC-0184,Vendor_B,SimEngine_X,Floating,ASIC Design,Americas,15,46.9,64.7,30000,450000,2025-09-05,2026-09-05,111,Low,False,6,180000
LIC-0185,Vendor_A,SchematicCapture,Floating,ASIC Design,APAC,50,22.7,36.9,20000,1000000,2024-07-15,2025-07-15,-306,Expired,True,37,740000
LIC-0186,Vendor_C,VerifyTool_B,Node-Locked,Analog,EMEA,15,17.8,33.9,8000,120000,2024-07-08,2025-07-08,-313,Expired,True,11,88000
LIC-0187,Vendor_C,CoverageAnalyzer,Floating,DFT,EMEA,10,12.9,41.9,8000,80000,2025-08-09,2027-08-09,449,Low,True,7,56000
LIC-0188,Vendor_C,FormalChecker,Floating,Mixed-Signal,APAC,15,52.0,74.6,12000,180000,2024-05-30,2026-05-30,13,Critical,False,6,72000
LIC-0189,Vendor_C,FormalChecker,Floating,Verification,APAC,5,12.4,28.7,30000,150000,2024-11-17,2025-11-17,-181,Expired,True,3,90000
LIC-0190,Vendor_C,CoverageAnalyzer,Node-Locked,Analog,EMEA,25,36.7,55.3,15000,375000,2025-09-07,2026-09-07,113,Low,True,14,210000
LIC-0191,Vendor_B,SimEngine_Pro,Node-Locked,ASIC Design,APAC,10,36.3,61.1,8000,80000,2025-02-11,2027-02-11,270,Low,True,5,40000
LIC-0192,Vendor_B,SimEngine_Pro,Floating,Mixed-Signal,APAC,20,31.8,61.8,30000,600000,2024-10-13,2026-10-13,149,Low,True,12,360000
LIC-0193,Vendor_B,SimEngine_X,Floating,Verification,EMEA,20,45.9,62.5,25000,500000,2025-02-28,2026-02-28,-78,Expired,False,9,225000
LIC-0194,Vendor_C,VerifyTool_B,Floating,Verification,EMEA,5,14.8,40.6,25000,125000,2025-09-12,2027-09-12,483,Low,True,3,75000
LIC-0195,Vendor_A,DesignTool_Lite,Floating,Physical Design,Americas,25,15.9,43.3,8000,200000,2025-06-04,2026-06-04,18,Critical,True,20,160000
LIC-0196,Vendor_C,CoverageAnalyzer,Floating,Verification,Americas,25,49.2,56.5,30000,750000,2025-08-27,2026-08-27,102,Low,False,11,330000
LIC-0197,Vendor_A,LayoutEditor,Node-Locked,Mixed-Signal,APAC,5,23.8,30.8,30000,150000,2024-07-05,2026-07-05,49,High,True,2,60000
LIC-0198,Vendor_C,VerifyTool_B,Floating,Mixed-Signal,EMEA,5,50.9,68.4,30000,150000,2024-08-06,2026-08-06,81,Medium,False,1,30000
LIC-0199,Vendor_C,CoverageAnalyzer,Node-Locked,DFT,APAC,50,36.7,51.9,20000,1000000,2025-12-03,2026-12-03,200,Low,True,30,600000
LIC-0200,Vendor_A,SchematicCapture,Floating,DFT,EMEA,15,49.3,69.5,15000,225000,2025-03-26,2027-03-26,313,Low,False,6,90000
LIC-0201,Vendor_B,SimEngine_Pro,Floating,Physical Design,Americas,15,28.6,39.6,8000,120000,2025-05-18,2027-05-18,366,Low,True,9,72000
LIC-0202,Vendor_A,DesignTool_Lite,Floating,ASIC Design,APAC,20,21.4,48.0,20000,400000,2025-06-06,2026-06-06,20,Critical,True,14,280000
LIC-0203,Vendor_B,WaveformViewer,Floating,Verification,APAC,25,80.2,96.9,15000,375000,2024-09-24,2025-09-24,-235,Expired,False,3,45000
LIC-0204,Vendor_A,SchematicCapture,Node-Locked,Mixed-Signal,EMEA,10,83.6,100.0,8000,80000,2025-12-26,2027-12-26,588,Low,False,0,0
LIC-0205,Vendor_B,TimingAnalyzer,Floating,Physical Design,Americas,5,72.6,88.4,15000,75000,2025-02-06,2027-02-06,265,Low,False,0,0
LIC-0206,Vendor_B,SimEngine_X,Floating,DFT,APAC,10,43.9,58.0,15000,150000,2025-12-02,2027-12-02,564,Low,False,4,60000
LIC-0207,Vendor_C,FormalChecker,Node-Locked,Mixed-Signal,EMEA,25,36.9,58.9,8000,200000,2025-10-07,2026-10-07,143,Low,True,14,112000
LIC-0208,Vendor_B,WaveformViewer,Node-Locked,Physical Design,Americas,10,8.9,18.9,25000,250000,2024-12-31,2025-12-31,-137,Expired,True,8,200000
LIC-0209,Vendor_A,DesignTool_Pro,Floating,Verification,Americas,20,43.4,61.4,12000,240000,2024-06-05,2025-06-05,-346,Expired,False,10,120000
LIC-0210,Vendor_B,WaveformViewer,Node-Locked,Verification,EMEA,50,22.1,48.2,25000,1250000,2025-03-08,2027-03-08,295,Low,True,37,925000
LIC-0211,Vendor_C,CoverageAnalyzer,Floating,DFT,APAC,50,12.8,20.5,20000,1000000,2024-06-28,2026-06-28,42,High,True,42,840000
LIC-0212,Vendor_C,VerifyTool_A,Floating,Mixed-Signal,EMEA,50,43.1,67.7,25000,1250000,2024-07-04,2025-07-04,-317,Expired,False,27,675000
LIC-0213,Vendor_C,VerifyTool_A,Floating,Mixed-Signal,EMEA,50,83.5,100.0,20000,1000000,2025-09-17,2026-09-17,123,Low,False,7,140000
LIC-0214,Vendor_A,DesignTool_Pro,Floating,Verification,APAC,20,12.2,21.0,30000,600000,2025-07-22,2027-07-22,431,Low,True,16,480000
LIC-0215,Vendor_C,FormalChecker,Floating,Analog,Americas,10,33.3,51.3,25000,250000,2025-03-20,2027-03-20,307,Low,True,5,125000
LIC-0216,Vendor_C,FormalChecker,Floating,Physical Design,APAC,25,23.9,37.5,15000,375000,2025-05-21,2027-05-21,369,Low,True,18,270000
LIC-0217,Vendor_A,DesignTool_Lite,Floating,Physical Design,Americas,15,49.1,73.4,30000,450000,2025-07-18,2027-07-18,427,Low,False,6,180000
LIC-0218,Vendor_B,TimingAnalyzer,Node-Locked,Physical Design,Americas,50,51.1,62.9,8000,400000,2024-07-08,2026-07-08,52,High,False,23,184000
LIC-0219,Vendor_B,WaveformViewer,Floating,Verification,EMEA,50,26.7,33.7,20000,1000000,2025-05-29,2027-05-29,377,Low,True,35,700000
LIC-0220,Vendor_A,DesignTool_Lite,Node-Locked,Mixed-Signal,EMEA,50,25.9,37.7,8000,400000,2024-05-26,2025-05-26,-356,Expired,True,36,288000
LIC-0221,Vendor_A,DesignTool_Pro,Floating,Analog,Americas,10,56.3,62.6,20000,200000,2025-03-14,2027-03-14,301,Low,False,3,60000
LIC-0222,Vendor_A,DesignTool_Lite,Node-Locked,ASIC Design,Americas,10,21.4,36.6,20000,200000,2024-10-15,2025-10-15,-214,Expired,True,6,120000
LIC-0223,Vendor_B,WaveformViewer,Floating,Physical Design,Americas,5,12.1,33.4,12000,60000,2024-08-17,2025-08-17,-273,Expired,True,3,36000
LIC-0224,Vendor_A,SchematicCapture,Node-Locked,Verification,APAC,20,43.8,68.5,12000,240000,2025-04-25,2026-04-25,-22,Expired,False,10,120000
LIC-0225,Vendor_A,LayoutEditor,Floating,Mixed-Signal,Americas,15,37.7,49.8,30000,450000,2024-08-08,2026-08-08,83,Medium,True,8,240000
LIC-0226,Vendor_A,SchematicCapture,Node-Locked,Physical Design,APAC,15,40.5,49.6,20000,300000,2025-05-28,2026-05-28,11,Critical,False,7,140000
LIC-0227,Vendor_A,LayoutEditor,Floating,Physical Design,Americas,10,60.7,70.1,30000,300000,2024-12-27,2026-12-27,224,Low,False,2,60000
LIC-0228,Vendor_C,CoverageAnalyzer,Floating,ASIC Design,EMEA,10,56.9,86.4,20000,200000,2025-03-21,2026-03-21,-57,Expired,False,3,60000
LIC-0229,Vendor_A,LayoutEditor,Floating,DFT,APAC,15,37.5,66.4,15000,225000,2024-06-29,2025-06-29,-322,Expired,True,8,120000
LIC-0230,Vendor_B,WaveformViewer,Floating,Analog,APAC,5,35.0,51.6,12000,60000,2024-12-27,2026-12-27,224,Low,True,2,24000
LIC-0231,Vendor_C,VerifyTool_A,Floating,Analog,EMEA,10,19.7,30.2,12000,120000,2024-10-14,2025-10-14,-215,Expired,True,7,84000
LIC-0232,Vendor_B,WaveformViewer,Floating,DFT,Americas,20,11.6,35.5,30000,600000,2025-07-07,2026-07-07,51,High,True,16,480000
LIC-0233,Vendor_C,VerifyTool_A,Floating,Mixed-Signal,EMEA,15,38.2,45.2,25000,375000,2025-10-24,2026-10-24,160,Low,True,8,200000
LIC-0234,Vendor_C,VerifyTool_B,Floating,Mixed-Signal,Americas,15,52.5,78.9,20000,300000,2025-10-19,2026-10-19,155,Low,False,6,120000
LIC-0235,Vendor_C,FormalChecker,Floating,ASIC Design,Americas,5,64.4,80.7,25000,125000,2024-12-17,2026-12-17,214,Low,False,0,0
LIC-0236,Vendor_C,VerifyTool_A,Floating,Mixed-Signal,EMEA,15,67.9,91.0,20000,300000,2025-05-31,2026-05-31,14,Critical,False,3,60000
LIC-0237,Vendor_C,VerifyTool_B,Floating,Mixed-Signal,APAC,15,68.0,90.5,25000,375000,2025-12-16,2026-12-16,213,Low,False,3,75000
LIC-0238,Vendor_B,SimEngine_X,Floating,Physical Design,EMEA,10,49.8,73.9,30000,300000,2024-12-12,2026-12-12,209,Low,False,4,120000
LIC-0239,Vendor_B,TimingAnalyzer,Floating,DFT,EMEA,50,24.8,51.7,12000,600000,2025-02-24,2026-02-24,-82,Expired,True,36,432000
LIC-0240,Vendor_A,SchematicCapture,Node-Locked,Mixed-Signal,APAC,10,30.1,56.0,8000,80000,2025-04-16,2027-04-16,334,Low,True,5,40000
LIC-0241,Vendor_C,FormalChecker,Node-Locked,Mixed-Signal,EMEA,10,53.5,70.0,12000,120000,2025-05-09,2026-05-09,-8,Expired,False,3,36000
LIC-0242,Vendor_C,VerifyTool_A,Floating,ASIC Design,Americas,5,42.9,53.9,8000,40000,2025-11-04,2026-11-04,171,Low,False,1,8000
LIC-0243,Vendor_B,SimEngine_X,Floating,Verification,Americas,20,57.6,68.5,12000,240000,2025-12-20,2026-12-20,217,Low,False,7,84000
LIC-0244,Vendor_C,CoverageAnalyzer,Floating,Verification,Americas,25,37.9,57.8,30000,750000,2025-03-24,2026-03-24,-54,Expired,True,14,420000
LIC-0245,Vendor_B,SimEngine_Pro,Floating,Analog,Americas,15,39.4,51.3,25000,375000,2024-06-20,2025-06-20,-331,Expired,True,8,200000
LIC-0246,Vendor_C,FormalChecker,Floating,Mixed-Signal,EMEA,15,35.7,64.2,30000,450000,2025-01-21,2027-01-21,249,Low,True,8,240000
LIC-0247,Vendor_C,FormalChecker,Floating,DFT,APAC,10,30.2,54.1,20000,200000,2025-06-14,2026-06-14,28,Critical,True,5,100000
LIC-0248,Vendor_B,SimEngine_Pro,Floating,DFT,APAC,20,74.5,93.4,12000,240000,2025-01-14,2026-01-14,-123,Expired,False,4,48000
LIC-0249,Vendor_B,SimEngine_Pro,Floating,Physical Design,Americas,20,27.8,54.0,8000,160000,2024-08-16,2025-08-16,-274,Expired,True,13,104000
LIC-0250,Vendor_A,LayoutEditor,Floating,DFT,Americas,5,47.2,74.0,12000,60000,2024-06-24,2025-06-24,-327,Expired,False,1,12000
LIC-0251,Vendor_B,SimEngine_Pro,Node-Locked,Physical Design,EMEA,5,24.2,34.5,12000,60000,2025-10-18,2027-10-18,519,Low,True,2,24000
LIC-0252,Vendor_A,DesignTool_Lite,Floating,DFT,APAC,15,73.2,87.7,25000,375000,2025-02-13,2027-02-13,272,Low,False,3,75000
LIC-0253,Vendor_B,WaveformViewer,Floating,Mixed-Signal,EMEA,50,17.5,34.2,15000,750000,2025-07-22,2027-07-22,431,Low,True,40,600000
LIC-0254,Vendor_B,TimingAnalyzer,Node-Locked,ASIC Design,Americas,50,21.4,30.0,15000,750000,2024-07-29,2026-07-29,73,Medium,True,38,570000
LIC-0255,Vendor_B,SimEngine_Pro,Floating,Verification,EMEA,25,58.9,84.7,20000,500000,2024-08-01,2026-08-01,76,Medium,False,9,180000
LIC-0256,Vendor_B,TimingAnalyzer,Node-Locked,Analog,Americas,20,45.5,54.7,15000,300000,2025-08-26,2026-08-26,101,Low,False,9,135000
LIC-0257,Vendor_C,FormalChecker,Node-Locked,Verification,Americas,5,30.0,48.1,8000,40000,2025-12-28,2026-12-28,225,Low,True,2,16000
LIC-0258,Vendor_B,SimEngine_Pro,Floating,Analog,APAC,10,52.5,57.7,25000,250000,2024-11-06,2026-11-06,173,Low,False,3,75000
LIC-0259,Vendor_A,SchematicCapture,Floating,Analog,EMEA,25,36.0,54.8,8000,200000,2026-01-29,2028-01-29,622,Low,True,15,120000
LIC-0260,Vendor_C,CoverageAnalyzer,Node-Locked,ASIC Design,Americas,50,28.8,44.6,12000,600000,2025-10-29,2026-10-29,165,Low,True,34,408000
LIC-0261,Vendor_C,VerifyTool_B,Floating,Verification,APAC,15,30.9,56.3,15000,225000,2025-01-05,2026-01-05,-132,Expired,True,9,135000
LIC-0262,Vendor_B,TimingAnalyzer,Floating,DFT,Americas,50,67.1,77.7,30000,1500000,2025-11-25,2026-11-25,192,Low,False,15,450000
LIC-0263,Vendor_A,SchematicCapture,Floating,DFT,EMEA,5,55.1,76.0,30000,150000,2025-08-24,2026-08-24,99,Low,False,1,30000
LIC-0264,Vendor_B,TimingAnalyzer,Floating,Analog,EMEA,5,48.9,76.3,8000,40000,2025-06-25,2026-06-25,39,High,False,1,8000
LIC-0265,Vendor_C,FormalChecker,Node-Locked,Physical Design,APAC,50,40.0,68.1,25000,1250000,2024-07-18,2025-07-18,-303,Expired,False,29,725000
LIC-0266,Vendor_A,LayoutEditor,Floating,ASIC Design,APAC,50,33.1,58.6,8000,400000,2025-04-15,2026-04-15,-32,Expired,True,32,256000
LIC-0267,Vendor_C,VerifyTool_B,Floating,Mixed-Signal,EMEA,25,26.4,39.7,30000,750000,2025-09-25,2026-09-25,131,Low,True,17,510000
LIC-0268,Vendor_C,CoverageAnalyzer,Floating,ASIC Design,APAC,5,62.9,76.4,25000,125000,2024-06-16,2026-06-16,30,Critical,False,0,0
LIC-0269,Vendor_B,SimEngine_X,Node-Locked,Analog,EMEA,20,14.3,31.6,15000,300000,2024-07-29,2026-07-29,73,Medium,True,16,240000
LIC-0270,Vendor_B,SimEngine_Pro,Floating,Analog,Americas,5,10.3,34.6,15000,75000,2025-06-08,2026-06-08,22,Critical,True,3,45000
LIC-0271,Vendor_A,LayoutEditor,Node-Locked,Verification,EMEA,50,51.4,60.3,20000,1000000,2025-03-28,2027-03-28,315,Low,False,23,460000
LIC-0272,Vendor_A,DesignTool_Pro,Floating,ASIC Design,EMEA,15,28.7,36.3,8000,120000,2025-08-08,2027-08-08,448,Low,True,9,72000
LIC-0273,Vendor_B,TimingAnalyzer,Floating,ASIC Design,APAC,25,66.3,73.6,25000,625000,2025-03-20,2027-03-20,307,Low,False,7,175000
LIC-0274,Vendor_A,LayoutEditor,Node-Locked,DFT,EMEA,50,56.9,84.4,12000,600000,2024-07-10,2025-07-10,-311,Expired,False,20,240000
LIC-0275,Vendor_C,FormalChecker,Floating,Verification,APAC,15,37.6,54.9,8000,120000,2025-08-28,2027-08-28,468,Low,True,8,64000
LIC-0276,Vendor_B,TimingAnalyzer,Node-Locked,Physical Design,EMEA,15,57.4,68.7,12000,180000,2024-05-16,2026-05-16,-1,Expired,False,5,60000
LIC-0277,Vendor_C,VerifyTool_B,Floating,DFT,APAC,5,61.8,90.5,15000,75000,2024-05-21,2026-05-21,4,Critical,False,0,0
LIC-0278,Vendor_B,TimingAnalyzer,Node-Locked,Physical Design,EMEA,50,64.5,93.9,12000,600000,2025-04-14,2027-04-14,332,Low,False,16,192000
LIC-0279,Vendor_C,VerifyTool_B,Floating,DFT,EMEA,20,31.8,61.0,15000,300000,2024-10-01,2025-10-01,-228,Expired,True,12,180000
LIC-0280,Vendor_B,TimingAnalyzer,Floating,Physical Design,EMEA,25,10.1,20.1,25000,625000,2025-08-15,2026-08-15,90,Medium,True,21,525000
LIC-0281,Vendor_C,FormalChecker,Floating,Analog,APAC,15,2.1,27.9,8000,120000,2024-12-24,2026-12-24,221,Low,True,13,104000
LIC-0282,Vendor_A,LayoutEditor,Floating,Verification,EMEA,50,62.3,77.9,20000,1000000,2025-12-02,2027-12-02,564,Low,False,17,340000
LIC-0283,Vendor_C,FormalChecker,Floating,Mixed-Signal,EMEA,50,37.6,53.1,8000,400000,2025-02-12,2026-02-12,-94,Expired,True,30,240000
LIC-0284,Vendor_A,DesignTool_Lite,Floating,Analog,Americas,50,19.8,40.1,25000,1250000,2025-01-02,2027-01-02,230,Low,True,39,975000
LIC-0285,Vendor_B,SimEngine_X,Floating,ASIC Design,APAC,25,42.7,66.4,25000,625000,2024-07-01,2025-07-01,-320,Expired,False,13,325000
LIC-0286,Vendor_B,WaveformViewer,Node-Locked,DFT,EMEA,25,41.0,63.3,12000,300000,2025-02-27,2026-02-27,-79,Expired,False,13,156000
LIC-0287,Vendor_B,SimEngine_X,Node-Locked,Physical Design,EMEA,5,42.0,49.9,30000,150000,2025-09-23,2027-09-23,494,Low,False,1,30000
LIC-0288,Vendor_B,WaveformViewer,Floating,DFT,APAC,15,30.8,47.7,20000,300000,2024-11-09,2026-11-09,176,Low,True,9,180000
LIC-0289,Vendor_A,LayoutEditor,Floating,ASIC Design,Americas,15,53.4,74.6,30000,450000,2025-08-31,2026-08-31,106,Low,False,5,150000
LIC-0290,Vendor_C,VerifyTool_B,Floating,Mixed-Signal,APAC,20,17.9,46.9,12000,240000,2024-12-28,2025-12-28,-140,Expired,True,15,180000
LIC-0291,Vendor_A,SchematicCapture,Node-Locked,DFT,APAC,10,32.5,48.7,20000,200000,2025-01-13,2026-01-13,-124,Expired,True,5,100000
LIC-0292,Vendor_C,VerifyTool_B,Node-Locked,Verification,EMEA,5,22.6,42.0,25000,125000,2025-08-08,2027-08-08,448,Low,True,2,50000
LIC-0293,Vendor_B,SimEngine_Pro,Floating,DFT,APAC,20,52.7,70.9,30000,600000,2025-04-01,2027-04-01,319,Low,False,8,240000
LIC-0294,Vendor_C,FormalChecker,Floating,Mixed-Signal,APAC,20,23.6,44.0,30000,600000,2025-04-17,2026-04-17,-30,Expired,True,14,420000
LIC-0295,Vendor_C,VerifyTool_B,Floating,Physical Design,APAC,5,13.5,23.1,30000,150000,2025-09-24,2027-09-24,495,Low,True,3,90000
LIC-0296,Vendor_B,SimEngine_Pro,Floating,Mixed-Signal,EMEA,20,45.7,66.6,30000,600000,2025-08-22,2026-08-22,97,Low,False,9,270000
LIC-0297,Vendor_B,WaveformViewer,Floating,Verification,APAC,20,44.6,65.1,15000,300000,2026-02-06,2028-02-06,630,Low,False,10,150000
LIC-0298,Vendor_A,DesignTool_Lite,Floating,DFT,Americas,20,13.6,28.8,20000,400000,2024-12-17,2026-12-17,214,Low,True,16,320000
LIC-0299,Vendor_B,SimEngine_Pro,Floating,ASIC Design,Americas,10,60.3,72.6,15000,150000,2025-06-30,2027-06-30,409,Low,False,2,30000
LIC-0300,Vendor_A,SchematicCapture,Node-Locked,Mixed-Signal,Americas,20,41.4,60.1,8000,160000,2024-07-09,2025-07-09,-312,Expired,False,10,80000
LIC-0301,Vendor_B,WaveformViewer,Node-Locked,Mixed-Signal,APAC,20,29.4,48.1,20000,400000,2025-11-03,2026-11-03,170,Low,True,13,260000
LIC-0302,Vendor_B,SimEngine_X,Floating,DFT,EMEA,5,5.6,21.6,8000,40000,2025-06-18,2026-06-18,32,High,True,3,24000
LIC-0303,Vendor_C,CoverageAnalyzer,Floating,Analog,Americas,10,53.9,74.3,12000,120000,2025-07-19,2026-07-19,63,Medium,False,3,36000
LIC-0304,Vendor_C,CoverageAnalyzer,Floating,Mixed-Signal,EMEA,10,43.6,56.7,30000,300000,2025-04-22,2027-04-22,340,Low,False,4,120000
LIC-0305,Vendor_C,CoverageAnalyzer,Node-Locked,Mixed-Signal,Americas,10,47.1,76.2,20000,200000,2025-12-17,2027-12-17,579,Low,False,4,80000
LIC-0306,Vendor_C,VerifyTool_B,Floating,Analog,APAC,50,50.3,63.4,12000,600000,2025-01-09,2027-01-09,237,Low,False,23,276000
LIC-0307,Vendor_A,LayoutEditor,Floating,Analog,EMEA,5,8.9,29.7,8000,40000,2024-12-30,2026-12-30,227,Low,True,3,24000
LIC-0308,Vendor_C,CoverageAnalyzer,Floating,DFT,EMEA,5,31.3,58.0,30000,150000,2025-11-12,2027-11-12,544,Low,True,2,60000
LIC-0309,Vendor_C,CoverageAnalyzer,Floating,ASIC Design,Americas,20,62.2,87.8,20000,400000,2025-05-17,2027-05-17,365,Low,False,6,120000
LIC-0310,Vendor_B,WaveformViewer,Floating,Mixed-Signal,Americas,20,15.0,39.7,30000,600000,2025-12-28,2026-12-28,225,Low,True,16,480000
LIC-0311,Vendor_A,SchematicCapture,Node-Locked,ASIC Design,APAC,10,37.0,53.0,8000,80000,2024-12-04,2025-12-04,-164,Expired,True,5,40000
LIC-0312,Vendor_C,VerifyTool_B,Floating,Analog,EMEA,15,14.3,21.6,15000,225000,2025-06-04,2026-06-04,18,Critical,True,11,165000
LIC-0313,Vendor_B,SimEngine_Pro,Floating,ASIC Design,EMEA,50,52.4,74.9,12000,600000,2024-12-03,2025-12-03,-165,Expired,False,22,264000
LIC-0314,Vendor_C,VerifyTool_A,Floating,ASIC Design,APAC,10,37.7,57.5,25000,250000,2024-11-17,2025-11-17,-181,Expired,True,5,125000
LIC-0315,Vendor_A,LayoutEditor,Floating,ASIC Design,EMEA,20,52.5,59.3,20000,400000,2025-11-16,2026-11-16,183,Low,False,8,160000
LIC-0316,Vendor_A,LayoutEditor,Floating,Physical Design,EMEA,10,49.1,70.1,30000,300000,2025-09-22,2026-09-22,128,Low,False,4,120000
LIC-0317,Vendor_C,VerifyTool_A,Floating,Mixed-Signal,Americas,15,71.3,94.4,30000,450000,2025-09-13,2027-09-13,484,Low,False,3,90000
LIC-0318,Vendor_C,FormalChecker,Node-Locked,Verification,APAC,10,73.1,96.9,25000,250000,2025-01-18,2027-01-18,246,Low,False,1,25000
LIC-0319,Vendor_B,WaveformViewer,Floating,Verification,APAC,5,12.1,23.3,25000,125000,2024-06-11,2026-06-11,25,Critical,True,3,75000
LIC-0320,Vendor_C,VerifyTool_A,Floating,Analog,EMEA,25,46.2,63.9,30000,750000,2025-01-10,2027-01-10,238,Low,False,12,360000
LIC-0321,Vendor_C,VerifyTool_A,Floating,Verification,EMEA,10,73.4,90.9,25000,250000,2025-12-05,2026-12-05,202,Low,False,1,25000
LIC-0322,Vendor_B,WaveformViewer,Node-Locked,Verification,EMEA,25,40.9,56.4,25000,625000,2025-08-23,2027-08-23,463,Low,False,13,325000
LIC-0323,Vendor_A,DesignTool_Pro,Floating,Mixed-Signal,APAC,10,80.0,86.0,8000,80000,2025-01-04,2027-01-04,232,Low,False,0,0
LIC-0324,Vendor_C,FormalChecker,Floating,DFT,Americas,50,32.9,51.3,25000,1250000,2025-09-12,2027-09-12,483,Low,True,32,800000
LIC-0325,Vendor_A,LayoutEditor,Node-Locked,ASIC Design,Americas,10,57.7,76.1,20000,200000,2024-06-25,2025-06-25,-326,Expired,False,3,60000
LIC-0326,Vendor_B,TimingAnalyzer,Floating,Analog,APAC,5,76.8,100.0,8000,40000,2024-11-08,2025-11-08,-190,Expired,False,0,0
LIC-0327,Vendor_B,SimEngine_Pro,Node-Locked,ASIC Design,APAC,50,19.0,24.3,20000,1000000,2025-02-25,2027-02-25,284,Low,True,39,780000
LIC-0328,Vendor_A,LayoutEditor,Node-Locked,Verification,Americas,15,35.1,58.4,8000,120000,2026-01-16,2028-01-16,609,Low,True,8,64000
LIC-0329,Vendor_B,WaveformViewer,Floating,Mixed-Signal,APAC,25,75.7,96.4,20000,500000,2024-11-06,2026-11-06,173,Low,False,5,100000
LIC-0330,Vendor_A,SchematicCapture,Floating,Mixed-Signal,APAC,15,48.3,72.6,25000,375000,2025-10-20,2026-10-20,156,Low,False,6,150000
LIC-0331,Vendor_C,VerifyTool_A,Floating,ASIC Design,APAC,20,50.7,64.8,12000,240000,2025-08-16,2026-08-16,91,Low,False,8,96000
LIC-0332,Vendor_C,FormalChecker,Floating,Verification,EMEA,50,60.2,73.2,8000,400000,2024-07-10,2026-07-10,54,High,False,18,144000
LIC-0333,Vendor_A,DesignTool_Pro,Node-Locked,Verification,APAC,5,36.0,64.9,8000,40000,2024-10-27,2026-10-27,163,Low,True,2,16000
LIC-0334,Vendor_B,WaveformViewer,Floating,ASIC Design,Americas,15,53.0,63.0,25000,375000,2025-04-10,2026-04-10,-37,Expired,False,6,150000
LIC-0335,Vendor_B,WaveformViewer,Node-Locked,Mixed-Signal,EMEA,10,47.5,70.8,25000,250000,2025-06-09,2026-06-09,23,Critical,False,4,100000
LIC-0336,Vendor_A,SchematicCapture,Floating,ASIC Design,APAC,50,28.0,54.0,8000,400000,2025-03-09,2026-03-09,-69,Expired,True,35,280000
LIC-0337,Vendor_C,FormalChecker,Floating,Analog,Americas,10,35.7,53.9,12000,120000,2024-12-13,2026-12-13,210,Low,True,5,60000
LIC-0338,Vendor_A,DesignTool_Lite,Floating,Analog,EMEA,10,79.0,100.0,25000,250000,2024-12-20,2026-12-20,217,Low,False,1,25000
LIC-0339,Vendor_B,SimEngine_X,Floating,Mixed-Signal,APAC,50,23.0,48.5,8000,400000,2024-06-19,2025-06-19,-332,Expired,True,37,296000
LIC-0340,Vendor_B,SimEngine_Pro,Floating,Verification,EMEA,15,63.7,91.9,20000,300000,2025-03-18,2027-03-18,305,Low,False,4,80000
LIC-0341,Vendor_B,WaveformViewer,Node-Locked,Verification,APAC,10,43.0,67.5,25000,250000,2025-10-27,2026-10-27,163,Low,False,4,100000
LIC-0342,Vendor_A,DesignTool_Lite,Floating,DFT,EMEA,5,58.9,77.3,12000,60000,2024-11-10,2026-11-10,177,Low,False,1,12000
LIC-0343,Vendor_B,WaveformViewer,Floating,ASIC Design,APAC,50,59.6,72.2,30000,1500000,2024-06-08,2025-06-08,-343,Expired,False,19,570000
